YPR,Prince Rupert Airport,Canada,Prince Pupert
YPY,Fort Chipewyan Airport,Canada,Fort Chipewyan
YQA,Muskoka Airport,Canada,Muskoka
YQB,Quebec Jean Lesage International Airport,Canada,Quebec
YQF,Red Deer Regional Airport,Canada,Red Deer Industrial
YQG,Windsor Airport,Canada,Windsor
YQH,Watson Lake Airport,Canada,Watson Lake
YQK,Kenora Airport,Canada,Kenora
YQL,Lethbridge County Airport,Canada,Lethbridge
YQM,Greater Moncton International Airport,Canada,Moncton
YQQ,Comox Airport,Canada,Comox
YQR,Regina International Airport,Canada,Regina
YQT,Thunder Bay Airport,Canada,Thunder Bay
YQU,Grande Prairie Airport,Canada,Grande Prairie
YQV,Yorkton Municipal Airport,Canada,Yorkton
YQW,North Battleford Airport,Canada,North Battleford
YQX,Gander International Airport,Canada,Gander
YQY,Sydney / J.A. Douglas McCurdy Airport,Canada,Sydney
YQZ,Quesnel Airport,Canada,Quesnel
YRB,Resolute Bay Airport,Canada,Resolute
YRI,Rivière-du-Loup Airport,Canada,Riviere Du Loup
YRJ,Roberval Airport,Canada,Roberval
YRM,Rocky Mountain House Airport,Canada,Rocky Mountain House
YRT,Rankin Inlet Airport,Canada,Rankin Inlet
YSB,Sudbury Airport,Canada,Sudbury
YSC,Sherbrooke Airport,Canada,Sherbrooke
YSJ,Saint John Airport,Canada,St. John
YSM,Fort Smith Airport,Canada,Fort Smith
YSR,Nanisivik Airport,Canada,Nanisivik
YSU,Summerside Airport,Canada,Summerside
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,Sachs Harbour
YTE,Cape Dorset Airport,Canada,Cape Dorset
YTH,Thompson Airport,Canada,Thompson
YTR,CFB Trenton,Canada,Trenton
YTS,Timmins/Victor M. Power,Canada,Timmins
YTZ,Billy Bishop Toronto City Centre Airport,Canada,Toronto
YUB,Tuktoyaktuk Airport,Canada,Tuktoyaktuk
YUL,Montreal / Pierre Elliott Trudeau International Airport,Canada,Montreal
YUT,Repulse Bay Airport,Canada,Repulse Bay
YUX,Hall Beach Airport,Canada,Hall Beach
YUY,Rouyn Noranda Airport,Canada,Rouyn
YVC,La Ronge Airport,Canada,La Ronge
YVG,Vermilion Airport,Canada,Vermillion
YVM,Qikiqtarjuaq Airport,Canada,Broughton Island
YVO,Val-d'Or Airport,Canada,Val D'or
YVP,Kuujjuaq Airport,Canada,Quujjuaq
YVQ,Norman Wells Airport,Canada,Norman Wells
YVR,Vancouver International Airport,Canada,Vancouver
YVT,Buffalo Narrows Airport,Canada,Buffalo Narrows
YVV,Wiarton Airport,Canada,Wiarton
YWA,Petawawa Airport,Canada,Petawawa
YWG,Winnipeg / James Armstrong Richardson International Airport,Canada,Winnipeg
YWK,Wabush Airport,Canada,Wabush
YWL,Williams Lake Airport,Canada,Williams Lake
YWY,Wrigley Airport,Canada,Wrigley
YXC,Cranbrook/Canadian Rockies International Airport,Canada,Cranbrook
YXD,Edmonton City Centre (Blatchford Field) Airport,Canada,Edmonton
YXE,Saskatoon John G. Diefenbaker International Airport,Canada,Saskatoon
YXH,Medicine Hat Airport,Canada,Medicine Hat
YXJ,Fort St John Airport,Canada,Fort Saint John
YXL,Sioux Lookout Airport,Canada,Sioux Lookout
YXP,Pangnirtung Airport,Canada,Pangnirtung
YXR,Earlton (Timiskaming Regional) Airport,Canada,Earlton
YXS,Prince George Airport,Canada,Prince George
YXT,Northwest Regional Airport Terrace-Kitimat,Canada,Terrace
YXU,London Airport,Canada,London
YXX,Abbotsford Airport,Canada,Abbotsford
YXY,Whitehorse / Erik Nielsen International Airport,Canada,Whitehorse
YYB,North Bay Jack Garland Airport,Canada,North Bay
YYC,Calgary International Airport,Canada,Calgary
YYD,Smithers Airport,Canada,Smithers
YYE,Fort Nelson Airport,Canada,Fort Nelson
YYF,Penticton Airport,Canada,Penticton
YYG,Charlottetown Airport,Canada,Charlottetown
YYH,Taloyoak Airport,Canada,Spence Bay
YYJ,Victoria International Airport,Canada,Victoria
YYL,Lynn Lake Airport,Canada,Lynn Lake
YYN,Swift Current Airport,Canada,Swift Current
YYQ,Churchill Airport,Canada,Churchill
YYR,Goose Bay Airport,Canada,Goose Bay
YYT,St. John's International Airport,Canada,St. John's
YYU,Kapuskasing Airport,Canada,Kapuskasing
YYW,Armstrong Airport,Canada,Armstrong
YYY,Mont Joli Airport,Canada,Mont Joli
YYZ,Lester B. Pearson International Airport,Canada,Toronto
YZD,Downsview Airport,Canada,Toronto
YZE,Gore Bay Manitoulin Airport,Canada,Gore Bay
YZF,Yellowknife Airport,Canada,Yellowknife
YZH,Slave Lake Airport,Canada,Slave Lake
YZP,Sandspit Airport,Canada,Sandspit
YZR,Chris Hadfield Airport,Canada,Sarnia
YZT,Port Hardy Airport,Canada,Port Hardy
YZU,Whitecourt Airport,Canada,Whitecourt
YZV,Sept-Îles Airport,Canada,Sept-iles
YZW,Teslin Airport,Canada,Teslin
YZX,CFB Greenwood,Canada,Greenwood
ZFA,Faro Airport,Canada,Faro
ZFM,Fort Mcpherson Airport,Canada,Fort Mcpherson
QLD,Blida Airport,Algeria,Blida
BUJ,Bou Saada Airport,Algeria,Bou Saada
BJA,Soummam Airport,Algeria,Bejaja
ALG,Houari Boumediene Airport,Algeria,Algier
DJG,Djanet Inedbirene Airport,Algeria,Djanet
,Boufarik Airport,Algeria,Boufarik
,Reggane Airport,Algeria,Reggan
VVZ,Illizi Takhamalt Airport,Algeria,Illizi
,Ain Oussera Airport,Algeria,Ain Oussera
TMR,Aguenar – Hadj Bey Akhamok Airport,Algeria,Tamanrasset
GJL,Jijel Ferhat Abbas Airport,Algeria,Jijel
MZW,Mecheria Airport,Algeria,Mecheria
,Relizane Airport,Algeria,Relizane
AAE,Rabah Bitat Airport,Algeria,Annaba
CZL,Mohamed Boudiaf International Airport,Algeria,Constantine
TEE,Cheikh Larbi Tébessi Airport,Algeria,Tebessa
HRM,Hassi R'Mel Airport,Algeria,Tilrempt
TID,Bou Chekif Airport,Algeria,Tiaret
,Bou Sfer Airport,Algeria,Bou Sfer
TIN,Tindouf Airport,Algeria,Tindouf
CFK,Ech Cheliff Airport,Algeria,Ech-cheliff
TAF,Tafaraoui Airport,Algeria,Oran
TLM,Zenata – Messali El Hadj Airport,Algeria,Tlemcen
ORN,Es Senia Airport,Algeria,Oran
BFW,Sidi Bel Abbes Airport,Algeria,Sidi Bel Abbes
MUW,Ghriss Airport,Algeria,Ghriss
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,Adrar
BSK,Biskra Airport,Algeria,Biskra
ELG,El Golea Airport,Algeria,El Golea
GHA,Noumérat - Moufdi Zakaria Airport,Algeria,Ghardaia
HME,Oued Irara Airport,Algeria,Hassi Messaoud
INZ,In Salah Airport,Algeria,In Salah
TGR,Touggourt Sidi Madhi Airport,Algeria,Touggourt
LOO,Laghouat Airport,Algeria,Laghouat
TMX,Timimoun Airport,Algeria,Timimoun
OGX,Ain el Beida Airport,Algeria,Ouargla
IAM,In Aménas Airport,Algeria,Zarzaitine
COO,Cadjehoun Airport,Benin,Cotonou
OUA,Ouagadougou Airport,Burkina Faso,Ouagadougou
BOY,Bobo Dioulasso Airport,Burkina Faso,Bobo-dioulasso
ACC,Kotoka International Airport,Ghana,Accra
TML,Tamale Airport,Ghana,Tamale
,Wa Airport,Ghana,Wa
NYI,Sunyani Airport,Ghana,Sunyani
TKD,Takoradi Airport,Ghana,Takoradi
ABJ,Port Bouet Airport,Cote d'Ivoire,Abidjan
BYK,Bouaké Airport,Cote d'Ivoire,Bouake
DJO,Daloa Airport,Cote d'Ivoire,Daloa
HGO,Korhogo Airport,Cote d'Ivoire,Korhogo
MJC,Man Airport,Cote d'Ivoire,Man
SPY,San Pedro Airport,Cote d'Ivoire,San Pedro
ASK,Yamoussoukro Airport,Cote d'Ivoire,Yamoussoukro
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja
AKR,Akure Airport,Nigeria,Akure
BNI,Benin Airport,Nigeria,Benin
CBQ,Margaret Ekpo International Airport,Nigeria,Calabar
ENU,Akanu Ibiam International Airport,Nigeria,Enugu
,Gusau Airport,Nigeria,Gusau
IBA,Ibadan Airport,Nigeria,Ibadan
ILR,Ilorin International Airport,Nigeria,Ilorin
JOS,Yakubu Gowon Airport,Nigeria,Jos
KAD,Kaduna Airport,Nigeria,Kaduna
KAN,Mallam Aminu International Airport,Nigeria,Kano
MIU,Maiduguri International Airport,Nigeria,Maiduguri
MDI,Makurdi Airport,Nigeria,Makurdi
LOS,Murtala Muhammed International Airport,Nigeria,Lagos
MXJ,Minna Airport,Nigeria,Minna
PHC,Port Harcourt International Airport,Nigeria,Port Hartcourt
SKO,Sadiq Abubakar III International Airport,Nigeria,Sokoto
YOL,Yola Airport,Nigeria,Yola
ZAR,Zaria Airport,Nigeria,Zaria
MFQ,Maradi Airport,Niger,Maradi
NIM,Diori Hamani International Airport,Niger,Niamey
THZ,Tahoua Airport,Niger,Tahoua
AJY,Mano Dayak International Airport,Niger,Agadez
,Dirkou Airport,Niger,Dirkou
,Diffa Airport,Niger,Diffa
ZND,Zinder Airport,Niger,Zinder
MIR,Monastir Habib Bourguiba International Airport,Tunisia,Monastir
TUN,Tunis Carthage International Airport,Tunisia,Tunis
,Sidi Ahmed Air Base,Tunisia,Bizerte
,Remada Air Base,Tunisia,Remada
GAF,Gafsa Ksar International Airport,Tunisia,Gafsa
GAE,Gabès Matmata International Airport,Tunisia,Gabes
,Borj El Amri Airport,Tunisia,Bordj El Amri
DJE,Djerba Zarzis International Airport,Tunisia,Djerba
EBM,El Borma Airport,Tunisia,El Borma
SFA,Sfax Thyna International Airport,Tunisia,Sfax
TOE,Tozeur Nefta International Airport,Tunisia,Tozeur
LRL,Niamtougou International Airport,Togo,Niatougou
LFW,Lomé-Tokoin Airport,Togo,Lome
ANR,Antwerp International Airport (Deurne),Belgium,Antwerp
,Beauvechain Air Base,Belgium,Beauvechain
,Kleine Brogel Air Base,Belgium,Kleine Brogel
BRU,Brussels Airport,Belgium,Brussels
,Jehonville Air Base,Belgium,Bertrix
CRL,Brussels South Charleroi Airport,Belgium,Charleroi
,Chièvres Air Base,Belgium,Chievres
,Koksijde Air Base,Belgium,Koksijde
,Florennes Air Base,Belgium,Florennes
KJK,Wevelgem Airport,Belgium,Kortrijk-vevelgem
LGG,Liège Airport,Belgium,Liege
OST,Ostend-Bruges International Airport,Belgium,Ostend
,Zutendaal Air Base,Belgium,Zutendaal
,Brustem Airfield Sint Truiden,Belgium,Sint-truiden
,Saint Hubert Air Base,Belgium,St.-hubert
,Ursel Air Base,Belgium,Ursel
,Weelde Air Base,Belgium,Weelde
OBL,Zoersel (Oostmalle) Airfield,Belgium,Zoersel
,Flugplatz Bautzen,Germany,Bautzen
AOC,Altenburg-Nobitz Airport,Germany,Altenburg
,Dessau Airfield,Germany,Dessau
,Eisenhüttenstadt Airfield,Germany,Eisenhuettenstadt
,Großenhain Airport,Germany,Suhl
,Merseburg Airport,Germany,Muehlhausen
,Halle-Oppin Airport,Germany,Halle
IES,Riesa-Göhlis Airport,Germany,Riesa
REB,Rechlin-Lärz Airport,Germany,Rechlin-laerz
,Strausberg Airport,Germany,Strausberg
QXH,Schönhagen Airport,Germany,Schoenhagen
BBH,Barth Airport,Germany,Barth
,Jena-Schöngleina Airfield,Germany,Jena
,Kyritz Airport,Germany,Kyritz
ZMG,"Magdeburg ""City"" Airport",Germany,Magdeburg
,Rothenburg/Görlitz Airport,Germany,Rothenburg/ol
,Anklam Airfield,Germany,Anklam
CBU,Cottbus-Drewitz Airport,Germany,Cottbus
,Kamenz Airport,Germany,Kamenz
SXF,Berlin-Schönefeld Airport,Germany,Berlin
DRS,Dresden Airport,Germany,Dresden
ERF,Erfurt Airport,Germany,Erfurt
FRA,Frankfurt am Main Airport,Germany,Frankfurt
FMO,Münster Osnabrück Airport,Germany,Munster
HAM,Hamburg Airport,Germany,Hamburg
THF,Berlin-Tempelhof International Airport,Germany,Berlin
CGN,Cologne Bonn Airport,Germany,Cologne
DUS,Düsseldorf Airport,Germany,Duesseldorf
MUC,Munich Airport,Germany,Munich
NUE,Nuremberg Airport,Germany,Nuernberg
LEJ,Leipzig/Halle Airport,Germany,Leipzig
SCN,Saarbrücken Airport,Germany,Saarbruecken
STR,Stuttgart Airport,Germany,Stuttgart
TXL,Berlin-Tegel Airport,Germany,Berlin
HAJ,Hannover Airport,Germany,Hannover
BRE,Bremen Airport,Germany,Bremen
QEF,Frankfurt-Egelsbach Airport,Germany,Egelsbach
HHN,Frankfurt-Hahn Airport,Germany,Hahn
MHG,Mannheim-City Airport,Germany,Mannheim
,Allendorf/Eder Airport,Germany,Allendorf
,Worms Airport,Germany,Worms
,Mainz-Finthen Airport,Germany,Mainz
EIB,Eisenach-Kindel Airport,Germany,Eisenach
SGE,Siegerland Airport,Germany,Siegerland
XFW,Hamburg-Finkenwerder Airport,Germany,Hamburg
KEL,Kiel-Holtenau Airport,Germany,Kiel
LBC,Lübeck Blankensee Airport,Germany,Luebeck
,Flugplatz Dahlemer Binz,Germany,Dahlemer Binz
,Meinerzhagen Airport,Germany,Meinerzhagen
,Arnsberg-Menden Airport,Germany,Arnsberg
ESS,Essen Mulheim Airport,Germany,Essen
BFE,Bielefeld Airport,Germany,Bielefeld
MGL,Mönchengladbach Airport,Germany,Moenchengladbach
PAD,Paderborn Lippstadt Airport,Germany,Paderborn
,Stadtlohn-Vreden Airport,Germany,Stadtlohn
DTM,Dortmund Airport,Germany,Dortmund
AGB,Augsburg Airport,Germany,Augsburg
,Biberach a.d. Riß Airfield,Germany,Biberach
,Eggenfelden Airport,Germany,Eggenfelden
,Mindelheim-Mattsies Airfield,Germany,Mindelheim
OBF,Oberpfaffenhofen Airport,Germany,Oberpfaffenhofen
RBM,Straubing Airport,Germany,Straubing
,Vilshofen Airport,Germany,Vilshofen
,Leutkirch-Unterzeil Airport,Germany,Leutkirch
FDH,Friedrichshafen Airport,Germany,Friedrichshafen
SZW,Schwerin Parchim Airport,Germany,Parchim
,Stendal-Borstel Airport,Germany,Stendal
,Aalen-Heidenheim/Elchingen Airport,Germany,Aalen-heidenheim
BYU,Bayreuth Airport,Germany,Bayreuth
URD,Burg Feuerstein Airport,Germany,Burg Feuerstein
HOQ,Hof-Plauen Airport,Germany,Hof
,Haßfurt-Schweinfurt Airport,Germany,Hassfurt
,Koblenz-Winningen Airfield,Germany,Koblenz
,Trier-Föhren Airport,Germany,Trier
,Speyer Airfield,Germany,Speyer
ZQW,Zweibrücken Airport,Germany,Zweibruecken
ZQL,Donaueschingen-Villingen Airport,Germany,Donaueschingen
,Freiburg i. Br. Airport,Germany,Freiburg
,Mengen-Hohentengen Airport,Germany,Mengen
,Adolf Würth Airport,Germany,Schwaebisch Hall
,Finsterwalde/Schacksdorf Airport,Germany,Soest
BWE,Braunschweig-Wolfsburg Airport,Germany,Braunschweig
KSF,Kassel-Calden Airport,Germany,Kassel
,Hildesheim Airport,Germany,Hildesheim
BRV,Bremerhaven Airport,Germany,Bremerhaven
EME,Emden Airport,Germany,Emden
,Leer-Papenburg Airport,Germany,Leer
WVN,Wilhelmshaven-Mariensiel Airport,Germany,Wilhelmshaven
BMK,Borkum Airport,Germany,Borkum
NRD,Norderney Airport,Germany,Norderney
FLF,Flensburg-Schäferhaus Airport,Germany,Flensburg
,Rendsburg-Schachtholm Airport,Germany,Rendsburg
GWT,Westerland Sylt Airport,Germany,Westerland
,Ämari Air Base,Estonia,Armari Air Force Base
KDL,Kärdla Airport,Estonia,Kardla
URE,Kuressaare Airport,Estonia,Kuressaare
EPU,Pärnu Airport,Estonia,Parnu
TLL,Lennart Meri Tallinn Airport,Estonia,Tallinn-ulemiste International
TAY,Tartu Airport,Estonia,Tartu
ENF,Enontekio Airport,Finland,Enontekio
,Eura Airport,Finland,Eura
KEV,Halli Airport,Finland,Halli
HEM,Helsinki Malmi Airport,Finland,Helsinki
HEL,Helsinki Vantaa Airport,Finland,Helsinki
,Hameenkyro Airport,Finland,Hameenkyro
,Hanko Airport,Finland,Hanko
HYV,Hyvinkää Airfield,Finland,Hyvinkaa
,Kiikala Airport,Finland,Kikala
,Immola Airport,Finland,Immola
KTQ,Kitee Airport,Finland,Kitee
IVL,Ivalo Airport,Finland,Ivalo
JOE,Joensuu Airport,Finland,Joensuu
JYV,Jyvaskyla Airport,Finland,Jyvaskyla
KAU,Kauhava Airport,Finland,Kauhava
KEM,Kemi-Tornio Airport,Finland,Kemi
KAJ,Kajaani Airport,Finland,Kajaani
KHJ,Kauhajoki Airport,Finland,Kauhajoki
KOK,Kokkola-Pietarsaari Airport,Finland,Kruunupyy
,Kemijarvi Airport,Finland,Kemijarvi
KAO,Kuusamo Airport,Finland,Kuusamo
KTT,Kittilä Airport,Finland,Kittila
KUO,Kuopio Airport,Finland,Kuopio
QLF,Lahti Vesivehmaa Airport,Finland,Vesivehmaa
LPP,Lappeenranta Airport,Finland,Lappeenranta
MHQ,Mariehamn Airport,Finland,Mariehamn
,Menkijarvi Airport,Finland,Menkijarvi
MIK,Mikkeli Airport,Finland,Mikkeli
,Nummela Airport,Finland,Nummela
OUL,Oulu Airport,Finland,Oulu
,Piikajarvi Airport,Finland,Piikajarvi
POR,Pori Airport,Finland,Pori
,Pudasjärvi Airport,Finland,Pudasjarvi
,Pyhäsalmi Airport,Finland,Pyhasalmi
,Raahe Pattijoki Airport,Finland,Pattijoki
,Rantasalmi Airport,Finland,Rantasalmi
RVN,Rovaniemi Airport,Finland,Rovaniemi
,Rayskala Airport,Finland,Rayskala
SVL,Savonlinna Airport,Finland,Savonlinna
,Selanpaa Airport,Finland,Selanpaa
SOT,Sodankyla Airport,Finland,Sodankyla
TMP,Tampere-Pirkkala Airport,Finland,Tampere
,Teisko Airport,Finland,Teisko
TKU,Turku Airport,Finland,Turku
UTI,Utti Air Base,Finland,Utti
VAA,Vaasa Airport,Finland,Vaasa
VRK,Varkaus Airport,Finland,Varkaus
YLI,Ylivieska Airfield,Finland,Ylivieska-raudaskyla
BFS,Belfast International Airport,United Kingdom,Belfast
ENK,St Angelo Airport,United Kingdom,Enniskillen
BHD,George Best Belfast City Airport,United Kingdom,Belfast
LDY,City of Derry Airport,United Kingdom,Londonderry
BHX,Birmingham International Airport,United Kingdom,Birmingham
CVT,Coventry Airport,United Kingdom,Coventry
,Leicester Airport,United Kingdom,Leicester
GLO,Gloucestershire Airport,United Kingdom,Golouchestershire
,Wolverhampton Halfpenny Green Airport,United Kingdom,Halfpenny Green
GBA,Cotswold Airport,United Kingdom,Pailton
,Turweston Airport,United Kingdom,Turweston
,Wellesbourne Mountford Airport,United Kingdom,Wellesbourne
MAN,Manchester Airport,United Kingdom,Manchester
,Manchester Woodford Airport,United Kingdom,Woodfort
,Royal Marines Base Chivenor Airport,United Kingdom,Chivenor
NQY,Newquay Cornwall Airport,United Kingdom,Newquai
LYE,RAF Lyneham,United Kingdom,Lyneham
,MoD Boscombe Down Airport,United Kingdom,Boscombe Down
,RNAS Culdrose,United Kingdom,Culdrose
,MoD St. Athan,United Kingdom,St. Athan
YEO,RNAS Yeovilton,United Kingdom,Yeovilton
HAW,Haverfordwest Airport,United Kingdom,Haverfordwest
CWL,Cardiff International Airport,United Kingdom,Cardiff
SWS,Swansea Airport,United Kingdom,Swansea
BRS,Bristol Airport,United Kingdom,Bristol
LPL,Liverpool John Lennon Airport,United Kingdom,Liverpool
LTN,London Luton Airport,United Kingdom,London
PLH,Plymouth City Airport,United Kingdom,Plymouth
BOH,Bournemouth Airport,United Kingdom,Bournemouth
SOU,Southampton Airport,United Kingdom,Southampton
QLA,Lasham Airport,United Kingdom,Lasham
ACI,Alderney Airport,Guernsey,Alderney
GCI,Guernsey Airport,Guernsey,Guernsey
JER,Jersey Airport,Jersey,Jersey
ESH,Shoreham Airport,United Kingdom,Shoreham By Sea
BQH,London Biggin Hill Airport,United Kingdom,Biggin Hill
LGW,London Gatwick Airport,United Kingdom,London
LCY,London City Airport,United Kingdom,London
FAB,Farnborough Airport,United Kingdom,Farnborough
,Chalgrove Airport,United Kingdom,Chalsgrove
BBS,Blackbushe Airport,United Kingdom,Blackbushe
LHR,London Heathrow Airport,United Kingdom,London
SEN,Southend Airport,United Kingdom,Southend
LYX,Lydd Airport,United Kingdom,Lydd
MSE,Kent International Airport,United Kingdom,Manston
,Brough Airport,United Kingdom,Brough
CAX,Carlisle Airport,United Kingdom,Carlisle
,Retford Gamston Airport,United Kingdom,Repton
BLK,Blackpool International Airport,United Kingdom,Blackpool
HUY,Humberside Airport,United Kingdom,Humberside
BWF,Barrow Walney Island Airport,United Kingdom,Barrow Island
LBA,Leeds Bradford Airport,United Kingdom,Leeds
WRT,Warton Airport,United Kingdom,Warton
CEG,Hawarden Airport,United Kingdom,Hawarden
IOM,Isle of Man Airport,Isle of Man,Isle Of Man
NCL,Newcastle Airport,United Kingdom,Newcastle
MME,Durham Tees Valley Airport,United Kingdom,Teesside
EMA,East Midlands Airport,United Kingdom,East Midlands
,Llanbedr Airport,United Kingdom,Llanbedr
,RAF Ternhill,United Kingdom,Ternhill
,RAF Shawbury,United Kingdom,Shawbury
,RAF Woodvale,United Kingdom,Woodvale
KOI,Kirkwall Airport,United Kingdom,Kirkwall
LSI,Sumburgh Airport,United Kingdom,Sumburgh
WIC,Wick Airport,United Kingdom,Wick
ABZ,Aberdeen Dyce Airport,United Kingdom,Aberdeen
INV,Inverness Airport,United Kingdom,Inverness
GLA,Glasgow International Airport,United Kingdom,Glasgow
EDI,Edinburgh Airport,United Kingdom,Edinburgh
ILY,Islay Airport,United Kingdom,Islay
PIK,Glasgow Prestwick Airport,United Kingdom,Prestwick
BEB,Benbecula Airport,United Kingdom,Benbecula
SCS,Scatsta Airport,United Kingdom,Scatsta
DND,Dundee Airport,United Kingdom,Dundee
SYY,Stornoway Airport,United Kingdom,Stornoway
TRE,Tiree Airport,United Kingdom,Tiree
ADX,RAF Leuchars,United Kingdom,Leuchars
LMO,RAF Lossiemouth,United Kingdom,Lossiemouth
CBG,Cambridge Airport,United Kingdom,Cambridge
,Peterborough Business Airport,United Kingdom,Peterborough
